Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","356","India","5419","Yield","01651","Pepper (Piper spp.), raw","2017","2017","100 g/ha","5455","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","01707","Pigeon peas, dry","2017","2017","100 g/ha","9130","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","01318","Pineapples","2017","2017","100 g/ha","167658","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","01510","Potatoes","2017","2017","100 g/ha","223061","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","01235","Pumpkins, squash and gourds","2017","2017","100 g/ha","96009","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5419","Yield","01443","Rape or colza seed","2017","2017","100 g/ha","13035","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","0113","Rice","2017","2017","100 g/ha","38639","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","01446","Safflower seed","2017","2017","100 g/ha","6509","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","01921.01","Seed cotton, unginned","2017","2017","100 g/ha","14019","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","01444","Sesame seed","2017","2017","100 g/ha","4481","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","0114","Sorghum","2017","2017","100 g/ha","8122","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","0141","Soya beans","2017","2017","100 g/ha","11766","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","01802","Sugar cane","2017","2017","100 g/ha","690014","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","01445","Sunflower seed","2017","2017","100 g/ha","6596","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","01530","Sweet potatoes","2017","2017","100 g/ha","114063","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","01620","Tea leaves","2017","2017","100 g/ha","92679","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5419","Yield","01234","Tomatoes","2017","2017","100 g/ha","259824","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","01970","Unmanufactured tobacco","2017","2017","100 g/ha","17240","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5419","Yield","01221","Watermelons","2017","2017","100 g/ha","239780","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","0111","Wheat","2017","2017","100 g/ha","31999","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5419","Yield","01341","Apples","2017","2017","100 g/ha","322334","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5419","Yield","01211","Asparagus","2017","2017","100 g/ha","20000","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5419","Yield","0115","Barley","2017","2017","100 g/ha","60909","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5419","Yield","01702","Broad beans and horse beans, dry","2017","2017","100 g/ha","39995","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5419","Yield","01243","Broad beans and horse beans, green","2017","2017","100 g/ha","46736","E","Estimated value",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5419","Yield","01212","Cabbages","2017","2017","100 g/ha","254688","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5419","Yield","01251","Carrots and turnips","2017","2017","100 g/ha","654205","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5419","Yield","01213","Cauliflowers and broccoli","2017","2017","100 g/ha","96429","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5419","Yield","01344.02","Cherries","2017","2017","100 g/ha","88700","A","Official figure",""
